root,subkey,count,subsubkey
HKEY_CURRENT_USER,AppEvents,0, AppEvents
HKEY_CURRENT_USER,AppEvents,1, Console
HKEY_CURRENT_USER,Console,0, AppEvents
HKEY_CURRENT_USER,Console,1, Console
HKEY_CURRENT_USER,Console,2, Control Panel
HKEY_CURRENT_USER,Console,3, EnvEditorForm
HKEY_CURRENT_USER,Control Panel,0, AppEvents
HKEY_CURRENT_USER,Control Panel,1, Console
HKEY_CURRENT_USER,Control Panel,2, Control Panel
HKEY_CURRENT_USER,Control Panel,3, EnvEditorForm
HKEY_CURRENT_USER,Control Panel,4, Environment
HKEY_CURRENT_USER,Control Panel,5, EUDC
HKEY_CURRENT_USER,Control Panel,6, Keyboard Layout
HKEY_CURRENT_USER,Control Panel,7, Network
HKEY_CURRENT_USER,Control Panel,8, Printers
HKEY_CURRENT_USER,Control Panel,9, SOFTWARE
HKEY_CURRENT_USER,Control Panel,10, System
HKEY_CURRENT_USER,Control Panel,11, Tenorshare
HKEY_CURRENT_USER,Control Panel,12, Uninstall
HKEY_CURRENT_USER,Control Panel,13, Volatile Environment
2,[WinError 259] No more data is available
HKEY_CURRENT_USER,EnvEditorForm,0, AppEvents
HKEY_CURRENT_USER,EnvEditorForm,1, Console
HKEY_CURRENT_USER,EUDC,0, AppEvents
HKEY_CURRENT_USER,EUDC,1, Console
HKEY_CURRENT_USER,EUDC,2, Control Panel
HKEY_CURRENT_USER,EUDC,3, EnvEditorForm
HKEY_CURRENT_USER,Keyboard Layout,0, AppEvents
HKEY_CURRENT_USER,Keyboard Layout,1, Console
HKEY_CURRENT_USER,Keyboard Layout,2, Control Panel
HKEY_CURRENT_USER,Keyboard Layout,3, EnvEditorForm
HKEY_CURRENT_USER,Printers,0, AppEvents
HKEY_CURRENT_USER,Printers,1, Console
HKEY_CURRENT_USER,Printers,2, Control Panel
HKEY_CURRENT_USER,Printers,3, EnvEditorForm
HKEY_CURRENT_USER,Printers,4, Environment
HKEY_CURRENT_USER,Printers,5, EUDC
HKEY_CURRENT_USER,SOFTWARE,0, AppEvents
HKEY_CURRENT_USER,SOFTWARE,1, Console
HKEY_CURRENT_USER,SOFTWARE,2, Control Panel
HKEY_CURRENT_USER,SOFTWARE,3, EnvEditorForm
HKEY_CURRENT_USER,SOFTWARE,4, Environment
HKEY_CURRENT_USER,SOFTWARE,5, EUDC
HKEY_CURRENT_USER,SOFTWARE,6, Keyboard Layout
HKEY_CURRENT_USER,SOFTWARE,7, Network
HKEY_CURRENT_USER,SOFTWARE,8, Printers
HKEY_CURRENT_USER,SOFTWARE,9, SOFTWARE
HKEY_CURRENT_USER,SOFTWARE,10, System
HKEY_CURRENT_USER,SOFTWARE,11, Tenorshare
HKEY_CURRENT_USER,SOFTWARE,12, Uninstall
HKEY_CURRENT_USER,SOFTWARE,13, Volatile Environment
9,[WinError 259] No more data is available
HKEY_CURRENT_USER,System,0, AppEvents
HKEY_CURRENT_USER,System,1, Console
HKEY_CURRENT_USER,Tenorshare,0, AppEvents
HKEY_CURRENT_USER,Volatile Environment,0, AppEvents
