root,subkey,count
HKEY_CLASSES_ROOT,*,3
HKEY_CLASSES_ROOT,.$$$,0
HKEY_CLASSES_ROOT,.$A,0
HKEY_CLASSES_ROOT,.0,1
HKEY_CLASSES_ROOT,.001,1
HKEY_CLASSES_ROOT,.002,1
HKEY_CLASSES_ROOT,.003,1
HKEY_CLASSES_ROOT,.004,1
HKEY_CLASSES_ROOT,.005,1
HKEY_CLASSES_ROOT,.006,1
HKEY_CLASSES_ROOT,.007,1
HKEY_CLASSES_ROOT,.008,1
HKEY_CLASSES_ROOT,.009,1
HKEY_CLASSES_ROOT,.1,1
HKEY_CLASSES_ROOT,.2,1
HKEY_CLASSES_ROOT,.3,1
HKEY_CLASSES_ROOT,.386,1
HKEY_CLASSES_ROOT,.3ds,0
HKEY_CLASSES_ROOT,.3fr,2
HKEY_CLASSES_ROOT,.3g2,2
HKEY_CLASSES_ROOT,.3gp,2
HKEY_CLASSES_ROOT,.3gp2,2
HKEY_CLASSES_ROOT,.3gpp,2
HKEY_CLASSES_ROOT,.3mf,2
HKEY_CLASSES_ROOT,.7z,1
HKEY_CLASSES_ROOT,.a,2
HKEY_CLASSES_ROOT,.aa,1
HKEY_CLASSES_ROOT,.aac,1
HKEY_CLASSES_ROOT,.aax,1
HKEY_CLASSES_ROOT,.abl,1
HKEY_CLASSES_ROOT,.ablbundle,1
HKEY_CLASSES_ROOT,.ac$,0
HKEY_CLASSES_ROOT,.ac3,1
HKEY_CLASSES_ROOT,.acb,0
HKEY_CLASSES_ROOT,.accdt,1
HKEY_CLASSES_ROOT,.accountpicture-ms,0
HKEY_CLASSES_ROOT,.ace,1
HKEY_CLASSES_ROOT,.actm,0
HKEY_CLASSES_ROOT,.actmx,0
HKEY_CLASSES_ROOT,.adg,1
HKEY_CLASSES_ROOT,.adt,1
HKEY_CLASSES_ROOT,.adts,1
HKEY_CLASSES_ROOT,.adv,1
HKEY_CLASSES_ROOT,.agent,1
HKEY_CLASSES_ROOT,.ai,0
HKEY_CLASSES_ROOT,.aif,2
HKEY_CLASSES_ROOT,.aifc,2
HKEY_CLASSES_ROOT,.aiff,2
HKEY_CLASSES_ROOT,.air,1
HKEY_CLASSES_ROOT,.alc,1
HKEY_CLASSES_ROOT,.all,1
HKEY_CLASSES_ROOT,.alp,1
HKEY_CLASSES_ROOT,.als,1
HKEY_CLASSES_ROOT,.amr,1
HKEY_CLASSES_ROOT,.amxd,1
HKEY_CLASSES_ROOT,.ani,0
HKEY_CLASSES_ROOT,.ans,1
HKEY_CLASSES_ROOT,.apk,1
HKEY_CLASSES_ROOT,.apm,1
HKEY_CLASSES_ROOT,.appcontent-ms,2
HKEY_CLASSES_ROOT,.appinstaller,1
HKEY_CLASSES_ROOT,.application,0
HKEY_CLASSES_ROOT,.appref-ms,0
HKEY_CLASSES_ROOT,.appx,1
HKEY_CLASSES_ROOT,.appxbundle,1
HKEY_CLASSES_ROOT,.aps,1
