,subkey,0
582,CLSID,8846
121,ActivatableClasses,197
508,AudioEngine,49
581,CID.Local,36
580,CID,29
506,Applications,28
0,*,24
120,AVIFile,14
595,batfile,10
122,AllFilesystemObjects,9
511,AutoCAD.Drawing.25,8
124,AllSyncRootObjects,7
577,CADdirect.dwg.drawing.23.PRO.ENG.x64,7
46,.lnk,6
525,AutoCADLT.Drawing.24,6
7,.URL,5
99,.symlink,5
504,Application.Reference,5
510,AutoCAD.Drawing.24,5
521,AutoCADDrawingStandardsFile.25,5
568,AutoCADTemplate.25,5
40,.htm,4
590,acad.8101.409,4
591,acadlt.7101.409,4
68,.mpe,3
69,.mpeg,3
57,.mht,3
70,.mpg,3
112,.wmv,3
407,AppXqj98qxeaynz6dv4459ayz6bnqxbyaqcs,3
13,.avi,3
592,accountpicturefile,3
551,AutoCADLTTemplate.24,3
100,.tod,2
30,.dvr-ms,2
31,.dwg,2
32,.dws,2
33,.dwt,2
101,.ts,2
102,.tts,2
162,AppX2wtve0gr4hmwf8741db8nbmx1qpzt6vb,2
37,.flac,2
104,.uvu,2
39,.heic,2
105,.vob,2
42,.jxr,2
106,.wav,2
108,.webm,2
109,.webp,2
48,.m1v,2
49,.m2t,2
50,.m2ts,2
51,.m2v,2
52,.m4a,2
53,.m4b,2
54,.m4p,2
55,.m4v,2
203,AppX5x2fk3tx27n2bc1073v687w94p448779,2
81,.ogv,2
59,.mod,2
111,.wma,2
61,.mov,2
62,.mp2,2
63,.mp2v,2
64,.mp3,2
65,.mp4,2
66,.mp4v,2
67,.mpa,2
82,.ogx,2
2,.3g2,2
3,.3gp,2
71,.mpv2,2
58,.mkv,2
73,.mts,2
297,AppXd0q15nymfv84r7f35ntqegq2cfc4yyvn,2
241,AppX94pe98zzr9p0r6563575w18v52574561,2
166,AppX33v3etqt5kvj5qvaf4z8ewzgsds8kfex,2
179,AppX3xhspq8c2yn3b76bxt2b8jkqveh2trc2,2
78,.oga,2
79,.ogg,2
80,.ogm,2
316,AppXf1v57rwpbss1y6yk2dmv5343knt0q745,2
317,AppXfapb4jstkgv25e17qm38bfkqh43bzh50,2
338,AppXgw8jsesna2s0kjf6w9gv1d36xjhv8qme,2
342,AppXhsbeg8dzpfnvytmgmpw16z9gwnr02b2g,2
346,AppXjaavt6w9fwtv0fv77qcb84p5a7wp6x8r,2
352,AppXkc9a6a3cr3pbmgqbdfgr11xbh3k4pqrz,2
366,AppXmghtqm3dfapntbpm6nbwdybbratnfc8m,2
